Group	Name	Start	End	Length	strand	gene	locus_tag	experiment	inference	note	codon_start	transl_table	product	protein_id	db_xref	gene_synonym	pseudogene	pseudo	mobile_element_type	ncRNA_class	organism	mol_type	strain	anticodon
CDS	CDS	13714	13995	282	-	NA	Rv0011c	EXISTENCE: identified in proteomics study	NA	"Rv0011c, (MTCY10H4.11c), len: 93 aa. Probable conserved transmembrane protein. Belongs to uncharacterized protein family UPF0233. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al.,2004)."	1	11	Probable conserved transmembrane protein	CCP42733.1	UniProtKB/Swiss-Prot:P67376	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	14089	14877	789	+	NA	Rv0012	EXISTENCE: identified in proteomics study	NA	Rv0012, (MTCY10H4.12), len: 262 aa. Probable conserved membrane protein. Belongs to superfamily DUF881. Contains probable N-terminal signal sequence.	1	11	Probable conserved membrane protein	CCP42734.1	UniProtKB/TrEMBL:L0T243	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	14914	15612	699	+	trpG	Rv0013	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00606	"Rv0013, (MTCY10H4.13), len: 232 aa. Possible trpG,anthranilate synthase component II (glutamine amidotransferase). Contains PS00606 Beta-ketoacyl synthases active site; and PS00442 Glutamine amidotransferases class-I active site. Similarity to other type-1 glutamine amidotransferase domains. Note that previously known as pabA."	1	11	Possible anthranilate synthase component II TrpG(glutamine amidotransferase)	CCP42735.1	UniProtKB/Swiss-Prot:Q7DAK6	pabA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	15590	17470	1881	-	pknB	Rv0014c	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00108	Rv0014c, (MTCY10H4.14c), len: 626 aa. PknB,transmembrane serine/threonine-protein kinase (see citations below). Contains PS00107 Protein kinases ATP-binding region signature, and PS00108 Serine/Threonine protein kinases active-site signature. Contains Hanks kinase subdomain. Belongs to the Ser/Thr family of protein kinases. Experimental studies show evidence of auto-phosphorylation on serine/threonine residues. PknB has been shown to be a substrate for PstP and its kinase activity is affected by PstP-mediated dephosphorylation. PknB and PstP (Rv0018c) may act as a functional pair in vivo to control mycobacterial cell growth.	1	11	Transmembrane serine/threonine-protein kinase B PknB (protein kinase B) (STPK B)	CCP42736.1	UniProtKB/Swiss-Prot:P0A5S4	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	17467	18762	1296	-	pknA	Rv0015c	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00108	Rv0015c, (MTCY10H4.15c), len: 431 aa. PknA,transmembrane serine/threonine-protein kinase,magnesium/manganese dependent (see citations below). Contains PS00108 Serine/Threonine protein kinases active-site signature. Contains Hanks kinase subdomain. Belongs to the Ser/Thr family of protein kinases. It has been shown that sodium orthovanadate inhibits the activity of the enzyme in vitro.	1	11	Transmembrane serine/threonine-protein kinase A PknA (protein kinase A) (STPK A)	CCP42737.1	UniProtKB/Swiss-Prot:P65726	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	18759	20234	1476	-	pbpA	Rv0016c	EXISTENCE: identified in proteomics study	NA	Rv0016c, (MTCY10H4.16c), len: 491 aa. Probable pbpA,penicillin-binding protein, similar to many.	1	11	Probable penicillin-binding protein PbpA	CCP42738.1	UniProtKB/Swiss-Prot:P71586	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	20231	21640	1410	-	rodA	Rv0017c	NA	NA	Rv0017c, (MTCY10H4.17c), len: 469 aa. Probable rodA(alternate gene name: ftsW), cell division protein,integral membrane protein. Belongs to the FTSW/RODA/SPOVE family.	1	11	Probable cell division protein RodA	CCP42739.1	UniProtKB/Swiss-Prot:P63760	ftsW	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	21637	23181	1545	-	pstP	Rv0018c	EXISTENCE: identified in proteomics study	NA	Rv0018c, (MTCY10H4.18c), len: 514 aa. PstP,phosphoserine/threonine phosphatase. Experimental studies have shown that PstP specifically dephosporylates model phospho-Ser/Thr substrates and it is likely that PknB (Rv0014c) and PstP may act as a functional pair in vivo to control mycobacterial cell growth (See Boitel et al.,2003).	1	11	Phosphoserine/threonine phosphatase PstP	CCP42740.1	UniProtKB/Swiss-Prot:P71588	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	23270	23737	468	-	fhaB	Rv0019c	EXISTENCE: identified in proteomics study	NA	Rv0019c, (MTCY10H4.19c), len: 155 aa. FhaB,conserved protein with forkhead-associated domain (IPR000253), probably involved in signal transduction.	1	11	Conserved protein with FHA domain, FhaB	CCP42741.1	UniProtKB/Swiss-Prot:P71589	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	23861	25444	1584	-	fhaA	Rv0020c	EXISTENCE: identified in proteomics study	NA	"Rv0020c, (MTCY10H4.20c), len: 527 aa. FhaA, TB39.8,conserved protein with forkhead-associated domain (IPR000253) at C-terminus, may be involved in signal transduction. Alternative start codon in position 24979 has been suggested (see citation below). A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."	1	11	Conserved protein with FHA domain, FhaA	CCP42742.1	UniProtKB/Swiss-Prot:P71590	TB39.8	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	25913	26881	969	-	NA	Rv0021c	NA	NA	Rv0021c, (MTCY10H4.21c), len: 322 aa. Conserved hypothetical protein, similar to various proteins.	1	11	Conserved hypothetical protein	CCP42743.1	UniProtKB/TrEMBL:L7N625	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	27023	27442	420	-	whiB5	Rv0022c	EXISTENCE: identified in proteomics study	NA	Rv0022c, (MTCY10H4.22c), len: 139 aa. Probable whiB5 (alternate gene name: whmG), WhiB-like regulatory protein (see citations below), similar to WhiB paralogue of Streptomyces coelicolor, wblE gene product (85 aa).	1	11	Probable transcriptional regulatory protein WhiB-like WhiB5	CCP42744.1	UniProtKB/Swiss-Prot:P71592	whmG	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	27595	28365	771	+	NA	Rv0023	EXISTENCE: identified in proteomics study	NA	Rv0023, (MTCY10H4.23), len: 256 aa. Possible transcriptional regulator. Contains probable helix-turn helix motif from aa 19 to 40 (Score 1615, +4.69 SD).	1	11	Possible transcriptional regulatory protein	CCP42745.1	UniProtKB/Swiss-Prot:P67704	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	28362	29207	846	+	NA	Rv0024	EXISTENCE: identified in proteomics study	NA	Rv0024, (MTCY10H4.24), len: 281 aa. Putative secreted protein, p60 homologue, similar to many. Similar to Mycobacterium tuberculosis proteins Rv1477, Rv1478,Rv1566c, Rv2190c. Could belong to the E. coli NLPC / listeria P60 family.	1	11	Putative secreted protein P60-related protein	CCP42746.1	UniProtKB/TrEMBL:L7N550	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	29245	29607	363	+	NA	Rv0025	EXISTENCE: identified in proteomics study	NA	"Rv0025, (MTCY10H4.25), len: 120 aa. Conserved hypothetical protein, showing some similarity to other proteins from Mycobacterium tuberculosis e.g. Rv0739 (268 aa), FASTA score: (37.6% identity in 101 aa overlap), and Rv0026 FASTA score: (35.4% identity in 113 aa overlap); etc."	1	11	Conserved hypothetical protein	CCP42747.1	UniProtKB/Swiss-Prot:P71595	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	29722	31068	1347	+	NA	Rv0026	EXISTENCE: identified in proteomics study	NA	Rv0026, (MTCY10H4.26), len: 448 aa. Conserved hypothetical protein, showing some similarity to other proteins from Mycobacterium tuberculosis: Rv0025 FASTA score: (35.4% identity in 113 aa overlap) and Rv0739 (268 aa), FASTA score: (32.4% identity in 142 aa overlap).	1	11	Conserved hypothetical protein	CCP42748.1	UniProtKB/Swiss-Prot:P71596	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	31189	31506	318	+	NA	Rv0027	EXISTENCE: identified in proteomics study	NA	Rv0027, (MTCY10H4.27), len: 105 aa. Conserved hypothetical unknown protein.	1	11	Conserved hypothetical protein	CCP42749.1	UniProtKB/Swiss-Prot:P64667	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	31514	31819	306	+	NA	Rv0028	NA	NA	Rv0028, (MTCY10H4.28), len: 101 aa. Conserved hypothetical unknown protein.	1	11	Conserved hypothetical protein	CCP42750.1	UniProtKB/Swiss-Prot:P64669	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	32057	33154	1098	+	NA	Rv0029	EXISTENCE: identified in proteomics study	NA	"Rv0029, (MTCY10H4.29), len: 365 aa. Conserved hypothetical protein, showing some similarity to other proteins from Mycobacterium tuberculosis e.g. C-terminal region of Rv2082; Rv3899c."	1	11	Conserved hypothetical protein	CCP42751.1	UniProtKB/TrEMBL:L0T5H2	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	33224	33553	330	+	NA	Rv0030	NA	NA	Rv0030, (MTCY10H4.30), len: 109 aa. Conserved hypothetical unknown protein.	1	11	Conserved hypothetical protein	CCP42752.1	UniProtKB/Swiss-Prot:P64671	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	33582	33794	213	+	NA	Rv0031	NA	NA	"Rv0031, (MTCY10H4.31), len: 70 aa. Possible remnantof a transposase, showing partial similarity to mycobacterial transposases in a short overlap, e.g. Rv2791c|MTV002_57 (459 aa), FASTA score: (72.2% identity in 36 aa overlap); Rv2885c, Rv2978c, Rv3827c, etc."	1	11	Possible remnant of a transposase	CCP42753.1	UniProtKB/TrEMBL:L7N5W5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	34295	36610	2316	+	bioF2	Rv0032	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00599	Rv0032, (MTCY10H4.32), len: 771 aa. Probable bioF2,8-amino-7-oxononanoate synthase, with its C-terminal similar to others. Contains PS00599 Aminotransferases class-II pyridoxal-phosphate attachment site. Belongs to class-II of pyridoxal-phosphate-dependent aminotransferases.	1	11	Possible 8-amino-7-oxononanoate synthase BioF2 (AONS) (8-amino-7-ketopelargonate synthase) (7-keto-8-amino-pelargonic acid synthetase) (7-KAP synthetase) (L-alanine--pimelyl CoA ligase)	CCP42754.1	UniProtKB/Swiss-Prot:P71602	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	36607	36870	264	+	acpA	Rv0033	NA	NA	Rv0033, (MTCY10H4.33), len: 87 aa. Probable acpA (alternate gene name: acpP), acyl carrier protein, similar to others. Also similar to proteins of Mycobacterium tuberculosis Rv1344 and Rv2244 (31.5% identity in 73 aa overlap).	1	11	Probable acyl carrier protein AcpA (ACP)	CCP42755.1	UniProtKB/TrEMBL:P71603	acpP	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	36867	37262	396	+	NA	Rv0034	EXISTENCE: identified in proteomics study	NA	Rv0034, (MTCY10H4.34), len: 131 aa. Conserved hypothetical protein, showing weak similarity to AE001980|AE001980_7 hypothetical protein from Deinococcus radiodurans (120 aa), FASTA scores: opt: 141, E(): 0.0028,(29.3% identity in 123 aa overlap).	1	11	Conserved hypothetical protein	CCP42756.1	UniProtKB/Swiss-Prot:P64673	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	37259	38947	1689	+	fadD34	Rv0035	NA	NA	Rv0035, (MTCY10H4.35), len: 562 aa. Probable fadD34,fatty-acid-CoA synthetase, similar to many.	1	11	Probable fatty-acid-CoA ligase FadD34 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase)	CCP42757.1	UniProtKB/TrEMBL:Q7DAJ8	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	39056	39829	774	-	NA	Rv0036c	EXISTENCE: identified in proteomics study	NA	Rv0036c, (MTCY10H4.36c), len: 257 aa. Conserved protein, highly similar to CAB95889.1|AL359988 conserved hypothetical protein from Streptomyces (276 aa). Also some similarity to Rv3099c|MTCY164_10 (283 aa), FASTA scores: E(): 3.3e-05, (25.9% identity in 205 aa overlap).	1	11	Conserved protein	CCP42758.1	UniProtKB/Swiss-Prot:P64675	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	39877	41202	1326	-	NA	Rv0037c	EXISTENCE: identified in proteomics study	NA	Rv0037c, (MTCY10H4.37c), len: 441 aa. Probable conserved integral membrane protein, member of major facilitator superfamily (MFS) possibly involved in transport of macrolide.	1	11	Probable conserved integral membrane protein	CCP42759.1	UniProtKB/Swiss-Prot:P0A5C1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	41304	41912	609	+	NA	Rv0038	EXISTENCE: identified in proteomics study	NA	Rv0038, (MTCY10H4.38), len: 202 aa. Conserved protein, similar to many.	1	11	Conserved protein	CCP42760.1	UniProtKB/Swiss-Prot:P67757	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	42004	42351	348	-	NA	Rv0039c	EXISTENCE: identified in proteomics study	NA	"Rv0039c, (MTCY21D4.02c, MTCY10H4.39c), len: 115 aa.Possible conserved transmembrane protein. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."	1	11	Possible conserved transmembrane protein	CCP42761.1	UniProtKB/Swiss-Prot:P71696	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	42433	43365	933	-	mtc28	Rv0040c	EXISTENCE: identified in proteomics study	NA	"Rv0040c, (MTCY21D4.03c), len: 310 aa. Mtc28,secreted proline rich 28 kDa antigen protein (has hydrophobic stretch at N-terminus) (see citation below). A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."	1	11	Secreted proline rich protein Mtc28 (proline rich 28 kDa antigen)	CCP42762.1	UniProtKB/Swiss-Prot:P0A5Q6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	43562	46471	2910	+	leuS	Rv0041	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00178	Rv0041, (MTCY21D4.04), len: 969 aa. Probable leucyl-tRNA synthetase, similar to many. Contains PS00178 Aminoacyl-transfer RNA synthetases class-I signature. Belongs to class-I aminoacyl-tRNA synthetase family.	1	11	Probable leucyl-tRNA synthetase LeuS (leucine--tRNA ligase) (LEURS)	CCP42763.1	UniProtKB/Swiss-Prot:P67510	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	46581	47207	627	-	NA	Rv0042c	EXISTENCE: identified in proteomics study	NA	Rv0042c, (MTCY21D4.05c), len: 208 aa. Possible transcriptional regulatory protein, MarR-family. Some similarity to Mycobacterium tuberculosis proteins Rv2327,Rv0880, and Rv1404.	1	11	Possible transcriptional regulatory protein (probably MarR-family)	CCP42764.1	UniProtKB/TrEMBL:L7N4F5	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	47366	48100	735	-	NA	Rv0043c	NA	NA	Rv0043c, (MTCY21D4.06c), len: 244 aa. Probable transcriptional regulator, GntR family, similar to others.	1	11	Probable transcriptional regulatory protein (probably GntR-family)	CCP42765.1	UniProtKB/Swiss-Prot:P67737	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	48233	49027	795	-	NA	Rv0044c	EXISTENCE: identified in proteomics study	NA	Rv0044c, (MTCY21D4.07c), len: 264 aa. Possible oxidoreductase, highly similar to AAD32732.1|MmcI|AF127374| F420-dependent H4MPT reductase from Streptomyces lavendulae (264 aa). Also similar to Mycobacterium tuberculosis proteins e.g. Rv1855c, Rv0953c, Rv0791c, Rv0132c, etc.	1	11	Possible oxidoreductase	CCP42766.1	UniProtKB/TrEMBL:L7N5Z1	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	49043	49939	897	-	NA	Rv0045c	EXISTENCE: identified in proteomics study	NA	Rv0045c, (MTCY21D4.08c), len: 298 aa. Possible hydrolase, showing similarity with others. Also similar to Mycobacterium tuberculosis proteins Rv3473c, Rv1123c,Rv1938, Rv3617, Rv3670, etc.	1	11	Possible hydrolase	CCP42767.1	UniProtKB/TrEMBL:P71702	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	50021	51124	1104	-	ino1	Rv0046c	EXISTENCE: identified in proteomics study	NA	Rv0046c, (MTCY21D4.09c), len: 367 aa. Ino1 (alternate gene name: tbINO), myo-inositol-1-phosphate synthase (see citations below).	1	11	myo-inositol-1-phosphate synthase Ino1 (inositol1-phosphate synthetase) (D-glucose 6-phosphate cycloaldolase) (glucose 6-phosphate cyclase) (glucocycloaldolase)	CCP42768.1	UniProtKB/Swiss-Prot:P71703	tbINO	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	51185	51727	543	-	NA	Rv0047c	EXISTENCE: identified in proteomics study	NA	Rv0047c, (MTCY21D4.10c), len: 180 aa. Conserved protein, similar to many.	1	11	Conserved protein	CCP42769.1	UniProtKB/TrEMBL:L0T291	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	51828	52697	870	-	NA	Rv0048c	EXISTENCE: identified in proteomics study	NA	Rv0048c, MTCY21D4.11c, len: 289 aa. Possible membrane protein.	1	11	Possible membrane protein	CCP42770.1	UniProtKB/Swiss-Prot:P71705	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	52831	53244	414	+	NA	Rv0049	NA	NA	"Rv0049, (MTCY21D4.12), len: 137 aa. Conserved hypothetical protein. A core mycobacterial gene; conserved in mycobacterial strains (See Marmiesse et al., 2004)."	1	11	Conserved hypothetical protein	CCP42771.1	UniProtKB/Swiss-Prot:P64677	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	53663	55699	2037	+	ponA1	Rv0050	EXISTENCE: identified in proteomics study	NA	Rv0050, (MTCY21D4.13), len: 678 aa. Probable ponA1,penicillin-binding protein (class A), bienzymatic protein with transglycosylase and transpeptidase activities (see Graham & Clark-Curtiss 1999), highly similar to many (see Billman-Jacobe et al., 1999). Belongs to the transglycosylase family in the N-terminal section, and to the transpeptidase family in the C-terminal section.	1	11	Probable bifunctional penicillin-binding protein1A/1B PonA1 (murein polymerase) (PBP1): penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)	CCP42772.1	UniProtKB/Swiss-Prot:P71707	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	55696	57378	1683	+	NA	Rv0051	NA	NA	Rv0051, (MTCY21D4.14), len:560 aa. Predicted to be in the GT-C superfamily of glycosyltransferases (See Liu and Mushegian, 2003). Probable conserved transmembrane protein.	1	11	Probable conserved transmembrane protein	CCP42773.1	UniProtKB/TrEMBL:L0T463	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	57410	57973	564	+	NA	Rv0052	EXISTENCE: identified in proteomics study	NA	Rv0052, (MTCY21D4.15), len: 187 aa. Conserved protein, similar to others including Rv1930c from Mycobacterium tuberculosis (174 aa). May be a membrane protein.	1	11	Conserved protein	CCP42774.1	UniProtKB/TrEMBL:L0T298	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	58192	58482	291	+	rpsF	Rv0053	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS01048	Rv0053, (MTCY21D4.16), len: 96 aa. rpsF, 30S ribosomal protein S6, highly similar to many. Contains PS01048 Ribosomal protein S6 signature. Belongs to the S6P family of ribosomal proteins.	1	11	30S ribosomal protein S6 RpsF	CCP42775.1	UniProtKB/Swiss-Prot:P66591	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	58586	59080	495	+	ssb	Rv0054	EXISTENCE: identified in proteomics study	NA	Rv0054, (MTCY21D4.17), len: 164 aa. ssb,single-strand binding protein (see Mizrahi & Andersen 1998), highly similar to others. Belongs to the SSB family.	1	11	Single-strand binding protein Ssb (helix-destabilizing protein)	CCP42776.1	UniProtKB/Swiss-Prot:P0A610	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	59122	59376	255	+	rpsR1	Rv0055	EXISTENCE: identified in proteomics study	NA	Rv0055, (MTCY21D4.18), len: 84 aa. rpsR1, 30S ribosomal protein S18-1. Belongs to the S18P family of ribosomal proteins. Note that previously known as rpsR.	1	11	30S ribosomal protein S18-1 RpsR1	CCP42777.1	UniProtKB/Swiss-Prot:P69230	rpsR	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	59409	59867	459	+	rplI	Rv0056	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00651	Rv0056, (MTCY21D4.19), len: 152 aa. rplI, 50S ribosomal protein L9. Contains PS00651 Ribosomal protein L9 signature. Belongs to the L9P family of ribosomal proteins.	1	11	50S ribosomal protein L9 RplI	CCP42778.1	UniProtKB/Swiss-Prot:P66315	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	59896	60417	522	+	NA	Rv0057	NA	NA	Rv0057, (MTCY21D4.20), len: 173 aa. Hypothetical unknown protein.	1	11	Hypothetical protein	CCP42779.1	UniProtKB/Swiss-Prot:P64679	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	60396	63020	2625	+	dnaB	Rv0058	EXISTENCE: identified in proteomics study	protein motif:PROSITE:PS00017	"Rv0058, (MTV030.01, MTCY21D4.21), len: 874 aa. Probable dnaB, replicative DNA helicase. Contains an intein (position 61630..62838) similar to, and in the same position as, those in Sycnechocystis and Rhodothermus marinus (see citation below) and C-terminal extein (position 62839..63015) similar to many dnaB proteins. This protein undergoes a protein self splicing that involves a post-translational excision of the intervening region (intein) followed by peptide ligation. Belongs to the helicase family, DNAB subfamily. In the intein section; belongs to the homing endonuclease family."	1	11	Probable replicative DNA helicase DnaB	CCP42780.1	UniProtKB/Swiss-Prot:P71715	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	63200	63892	693	+	NA	Rv0059	EXISTENCE: identified in proteomics study	NA	Rv0059, (MTV030.02), len: 230 aa. Hypothetical unknown protein.	1	11	Hypothetical protein	CCP42781.1	UniProtKB/TrEMBL:L7N4F6	NA	NA	NA	NA	NA	NA	NA	NA	NA
CDS	CDS	63909	64967	1059	+	NA	Rv0060	EXISTENCE: identified in proteomics study	NA	Rv0060, (MTV030.03), len: 352 aa. Conserved hypothetical protein.	1	11	Conserved hypothetical protein	CCP42782.1	UniProtKB/TrEMBL:L7N5R6	NA	NA	NA	NA	NA	NA	NA	NA	NA
