"RvNumber"	"Mtnumber"	"Gene_Symbol"	"Gene_Description"
"Rv0029;Rv0029"	NA	NA	NA
"Rv0030"	"MT0034"	"Rv0030"	"hypothetical protein"
"Rv0031"	"MT0035"	"Rv0031"	"conserved hypothetical protein"
"Rv0032"	"MT0037"	"bioF2"	"C-terminal similar to B. subtilis BioF"
"Rv0033"	"MT0038"	"Rv0033"	"possible acyl carrier protein"
"Rv0034"	"MT0039"	"Rv0034"	"hypothetical protein"
"Rv0035"	"MT0040"	"fadD34"	"acyl-CoA synthase"
"Rv0036c"	"MT0041"	"Rv0036c"	"conserved hypothetical protein"
"Rv0037c"	"MT0042"	"Rv0037c"	"probable membrane protein"
"Rv0038"	"MT0043"	"Rv0038"	"conserved hypothetical protein"
"Rv0039c"	NA	"Rv0039c"	"conserved hypothetical protein"
"Rv0040c"	"MT0046"	"Rv0040c"	"conserved hypothetical protein"
"Rv0041"	"MT0047"	"leuS"	"leucyl-tRNA synthase"
"Rv0042c"	"MT0048"	"Rv0042c"	"conserved hypothetical protein"
"Rv0043c"	"MT0049"	"Rv0043c"	"transcriptional regulator (GntR family)"
"Rv0044c"	"MT0050"	"Rv0044c"	"possible monooxygenase"
"Rv0045c"	"MT0051"	"Rv0045c"	"possible dihydrolipoamide acetyltransferase"
"Rv0046c"	"MT0052"	"Rv0046c"	"conserved hypothetical protein"
"Rv0047c"	"MT0053"	"Rv0047c"	"conserved hypothetical protein"
"Rv0048c"	"MT0054"	"Rv0048c"	"hypothetical protein"
"Rv0049"	"MT0055"	"Rv0049"	"hypothetical protein"
"Rv0050"	"MT0056"	"ponA"	"penicillin-bonding protein"
"Rv0051"	"MT0057"	"Rv0051"	"probable membrane protein"
"Rv0052"	NA	"Rv0052"	"conserved hypothetical protein"
"Rv0053;Rv0053;Rv0053;Rv0053;Rv0053;Rv0053;Rv0053;Rv0053;Rv0053"	NA	NA	NA
"Rv0054"	"MT0060"	"ssb"	"single strand binding protein"
"Rv0055"	"MT0061"	"rpsR"	"30S ribosomal protein S18"
"Rv0056;Rv0056;Rv0056;Rv0056;Rv0056;Rv0056;Rv0056;Rv0056;Rv0056"	NA	NA	NA
"Rv0057"	NA	"Rv0057"	"hypothetical protein"
"Rv0058"	"MT0064"	"dnaB"	"DNA helicase (contains intein)"
"Rv0059"	NA	"Rv0059"	"hypothetical protein"
"Rv0060"	"MT0066"	"Rv0060"	"hypothetical protein"
"Rv0061"	NA	"Rv0061"	"hypothetical protein"
"Rv0062"	"MT0067"	"celA"	"cellulase/endoglucanase"
"Rv0063"	"MT0068"	"Rv0063"	"probable oxidoreductase"
"Rv0064"	"MT0070"	"Rv0064"	"possible membrane protein"
"Rv0065"	"MT0071"	"Rv0065"	"conserved hypothetical protein"
"Rv0066c"	"MT0072"	"icd2"	"isocitrate dehydrogenase"
"Rv0067c"	"MT0073"	"Rv0067c"	"transcriptional regulator (TetR/AcrR family)"
"Rv0068"	"MT0074"	"Rv0068"	"probable oxidoreductase"
"Rv0069c"	NA	"sdaA"	"L-serine dehydratase 1"
"Rv0070c"	"MT0076"	"glyA2"	"serine hydroxymethyltransferase"
"Rv0071"	"MT0077"	"Rv0071"	"group II intron maturase"
"Rv0072"	"MT0078"	"Rv0072"	"ABC-transporter transmembrane subunit"
"Rv0073"	"MT0079"	"Rv0073"	"ABC-transporter ATP-binding subunit"
"Rv0074"	"MT0080"	"Rv0074"	"conserved hypothetical protein"
"Rv0075"	"MT0081"	"Rv0075"	"probable aminotransferase"
"Rv0076c"	NA	"Rv0076c"	"possible membranememebrane spanning protein"
"Rv0077c"	"MT0083"	"Rv0077c"	"probable oxidoreductase"
"Rv0078"	"MT0084"	"Rv0078"	"transcriptional regulator (TetR/AcrR family)"
"Rv0079"	"MT0086"	"Rv0079"	"hypothetical protein"
"Rv0080"	"MT0087"	"Rv0080"	"hypothetical protein"
"Rv0081"	"MT0088"	"Rv0081"	"transcriptional regulator (ArsR family)"
"Rv0082"	"MT0089"	"Rv0082"	"probable oxidoreductase subunit"
"Rv0083"	"MT0090"	"Rv0083"	"probable oxidoreductase subunit"
"Rv0084"	"MT0091"	"hycD"	"formate hydrogenlyase subunit 4"
"Rv0085"	"MT0092"	"hycP"	"putative formate hydrogen lyase hycP"
"Rv0086"	"MT0093"	"hycQ"	"probable formate hydrogenlyase subunit"
"Rv0087"	"MT0095"	"hycE"	"probable formate hydrogenlyase subunit 5"
"Rv0088"	"MT0096"	"Rv0088"	"hypothetical protein"
"Rv0089"	"MT0098"	"Rv0089"	"possible bioC biotin synthesis gene"
"Rv0090"	"MT0099"	"Rv0090"	"hypothetical protein"
"Rv0091"	"MT0100"	"Rv0091"	"conserved hypothetical protein"
"Rv0092"	"MT0101"	"ctpA"	"cation-transporting ATPase"
"Rv0093c"	"MT0102"	"Rv0093c"	"hypothetical protein"
"Rv0094c"	NA	"Rv0094c"	"REP-family protein"
"Rv0095c"	NA	"Rv0095c"	"REP-family protein"
"Rv0096"	"MT0105"	"PPE"	"PPE-family protein"
"Rv0097"	"MT0106"	"Rv0097"	"conserved hypothetical protein"
"Rv0098"	"MT0107"	"Rv0098"	"hypothetical protein"
"Rv0099"	"MT0108"	"fadD10"	"acyl-CoA synthase"
"Rv0100"	"MT0109"	"Rv0100"	"hypothetical protein"
"Rv0101"	"MT0110"	"nrp"	"unknown non-ribosomal peptide synthase"
"Rv0102"	"MT0111"	"Rv0102"	"membrane protein"
"Rv0103c"	"MT0112"	"ctpB"	"cation transport ATPase"
"Rv0104"	"MT0113"	"Rv0104"	"hypothetical protein"
"Rv0105c"	"MT0114"	"rpmB"	"50S ribosomal protein L28"
"Rv0106"	"MT0115"	"Rv0106"	"conserved hypothetical protein"
"Rv0107c"	"MT0116"	"ctpI"	"probable magnesium transport ATPase"
"Rv0108c"	NA	"Rv0108c"	"hypothetical protein"
"Rv0109"	"MT0118"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0110"	"MT0119"	"Rv0110"	"transmembrane protein"
"Rv0111"	"MT0120"	"Rv0111"	"possible acyltransferase"
"Rv0112"	"MT0121"	"gca"	"probable GDP-mannose dehydratase"
"Rv0113"	"MT0122"	"gmhA"	"phosphoheptose isomerase"
"Rv0114"	"MT0122"	"Rv0114"	"similar to HisB"
"Rv0115"	"MT0123"	"Rv0115"	"conserved hypothetical protein"
"Rv0116c"	"MT0125"	"Rv0116c"	"conserved hypothetical protein"
"Rv0117"	"MT0125.1"	"oxyS"	"transcriptional regulator (LysR family)"
"Rv0118c"	"MT0126"	"oxcA"	"oxalyl-CoA decarboxylase"
"Rv0119"	"MT0127"	"fadD7"	"acyl-CoA synthase"
"Rv0120c"	"MT0128"	"fusA2"	"elongation factor G"
"Rv0121c"	NA	"Rv0121c"	"hypothetical protein"
"Rv0122"	NA	"Rv0122"	"hypothetical protein"
"Rv0123"	"MT0131"	"Rv0123"	"hypothetical protein"
"Rv0124"	"MT0132"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0125"	"MT0133"	"pepA"	"probable serine protease"
"Rv0126"	"MT0134"	"Rv0126"	"probable glycosyl hydrolase"
"Rv0127"	"MT0135"	"Rv0127"	"conserved hypothetical protein"
"Rv0128"	"MT0136"	"Rv0128"	"hypothetical protein"
"Rv0129c"	"MT0137"	"fbpC2"	"antigen 85C, mycolytransferase"
"Rv0130"	"MT0138"	"Rv0130"	"conserved hypothetical protein"
"Rv0131c"	"MT0139"	"fadE1"	"acyl-CoA dehydrogenase"
"Rv0132c"	"MT0140"	"Rv0132c"	"putative oxidoreductase"
"Rv0133"	"MT0141"	"Rv0133"	"possible puromycin N-acetyltransferase"
"Rv0134"	"MT0142"	"ephF"	"probable epoxide hydrolase"
"Rv0135c"	"MT0143"	"Rv0135c"	"putative transcriptional regulator"
"Rv0136"	"MT0144"	"Rv0136"	"cytochrome p450"
"Rv0137c"	"MT0145"	"Rv0137c"	"putative peptide methionine sulfoxide"
"Rv0138"	"MT0146"	"Rv0138"	"conserved hypothetical protein"
"Rv0139"	"MT0147"	"Rv0139"	"putative oxidoreductase"
"Rv0140"	"MT0148"	"Rv0140"	"conserved hypothetical protein"
"Rv0141c"	"MT0149"	"Rv0141c"	"hypothetical protein"
"Rv0142"	"MT0150"	"Rv0142"	"hypothetical protein"
"Rv0143c"	"MT0151"	"Rv0143c"	"probable chloride channel"
"Rv0144"	"MT0152"	"Rv0144"	"putative transcriptional regulator"
"Rv0145"	"MT0153"	"Rv0145"	"conserved hypothetical protein"
"Rv0146"	"MT0154"	"Rv0146"	"conserved hypothetical protein"
"Rv0147"	"MT0155"	"Rv0147"	"aldehyde dehydrogenase"
"Rv0148"	"MT0156"	"Rv0148"	"steroid dehydrogenase"
"Rv0149"	"MT0157"	"Rv0149"	"putative oxidoreductase"
"Rv0150c"	NA	"Rv0150c"	"conserved hypothetical protein"
"Rv0151c"	NA	"PE"	"PE-family protein"
"Rv0152c"	"MT0161"	"PE"	"PE-family protein"
"Rv0153c"	"MT0162"	"Rv0153c"	"putative protein-tyrosine-phosphatase"
"Rv0154c"	"MT0163"	"fadE2"	"acyl-CoA dehydrogenase"
"Rv0155"	"MT0164"	"pntAA"	"pyridine transhydrogenase subunit [alpha]1"
"Rv0156"	"MT0164"	"pntAB"	"pyridine transhydrogenase subunit [alpha]2"
"Rv0157"	"MT0165"	"pntB"	"pyridine transhydrogenase subunit [beta]"
"Rv0158"	"MT0167"	"Rv0158"	"transcriptional regulator (TetR/AcrR family)"
"Rv0159c"	"MT0168"	"PE"	"PE-family protein"
"Rv0160c"	"MT0169"	"PE"	"PE-family protein"
"Rv0161"	"MT0170"	"Rv0161"	"possible oxidoreductase"
"Rv0162c"	"MT0171"	"adhE"	"alcohol dehydrogenase (Zn)"
"Rv0163"	"MT0172"	"Rv0163"	"probable dehydrogenase"
"Rv0164"	"MT0173"	"Rv0164"	"conserved hypothetical protein"
"Rv0165c"	"MT0174"	"Rv0165c"	"transcriptional regulator (GntR family)"
"Rv0166"	"MT0175"	"fadD5"	"acyl-CoA synthase"
"Rv0167"	NA	"Rv0167"	"part of mce1 operon"
"Rv0168"	NA	"Rv0168"	"part of mce1 operon"
"Rv0169"	"MT0178"	"mce1"	"cell invasion protein"
"Rv0170"	"MT0179"	"Rv0170"	"part of mce1 operon"
"Rv0171"	"MT0180"	"Rv0171"	"part of mce1 operon"
"Rv0172"	"MT0181"	"Rv0172"	"part of mce1 operon"
"Rv0173"	"MT0182"	"lprK"	"part of mce1 operon"
"Rv0174"	"MT0183"	"Rv0174"	"part of mce1 operon"
"Rv0175"	"MT0184"	"Rv0175"	"conserved hypothetical protein"
"Rv0176"	"MT0185"	"Rv0176"	"conserved hypothetical protein"
"Rv0177"	"MT0186"	"Rv0177"	"conserved hypothetical protein"
"Rv0178"	"MT0187"	"Rv0178"	"conserved hypothetical protein"
"Rv0179c"	"MT0188"	"lprO"	"lipoprotein"
"Rv0180c"	NA	"Rv0180c"	"probable membrane protein"
"Rv0181c"	"MT0190"	"Rv0181c"	"conserved hypothetical protein"
"Rv0182c"	"MT0191"	"sigG"	"sigma-70 factors ECF subfamily"
"Rv0183"	"MT0192"	"Rv0183"	"Probable oxidoreductase"
"Rv0184"	"MT0193"	"Rv0184"	"conserved hypothetical protein"
"Rv0185"	"MT0194"	"Rv0185"	"conserved hypothetical protein"
"Rv0186"	"MT0195"	"bglS"	"[beta]-glucosidase"
"Rv0187"	"MT0197"	"Rv0187"	"probable o-methyltransferase"
"Rv0188"	"MT0198"	"Rv0188"	"putative methyltransferase"
"Rv0189c"	"MT0199"	"ilvD"	"dihydroxy-acid dehydratase"
"Rv0190"	"MT0200"	"Rv0190"	"conserved hypothetical protein"
"Rv0191"	"MT0201"	"Rv0191"	"probable chloramphenicol resistance protein"
"Rv0192"	"MT0202"	"Rv0192"	"conserved hypothetical protein"
"Rv0193c"	"MT0203"	"Rv0193c"	"hypothetical protein"
"Rv0194"	"MT0204"	"Rv0194"	"Probable ABC transporter"
"Rv0195"	"MT0205"	"Rv0195"	"transcriptional regulator (LuxR/UhpA family)"
"Rv0196"	"MT0206"	"Rv0196"	"transcriptional regulator (TetR/AcrR family)"
"Rv0197"	"MT0207"	"Rv0197"	"conserved hypothetical protein"
"Rv0198c"	"MT0208"	"Rv0198c"	"probable zinc metalloprotease"
"Rv0199;Rv0199"	NA	NA	NA
"Rv0200"	"MT0210"	"Rv0200"	"probable membrane protein"
"Rv0201c"	NA	"Rv0201c"	"conserved hypothetical protein"
"Rv0202c"	"MT0212"	"mmpL11"	"conserved large membrane protein"
"Rv0203"	"MT0213"	"Rv0203"	"hypothetical protein"
"Rv0204c"	"MT0214"	"Rv0204c"	"probable membrane protein"
"Rv0205"	"MT0215"	"Rv0205"	"probable membrane protein"
"Rv0206c"	"MT0216"	"mmpL3"	"conserved large membrane protein"
"Rv0207c"	"MT0217"	"Rv0207c"	"conserved hypothetical protein"
"Rv0208c"	NA	"Rv0208c"	"conserved hypothetical protein"
"Rv0209"	"MT0219"	"Rv0209"	"hypothetical protein"
"Rv0210"	"MT0220"	"Rv0210"	"hypothetical protein"
"Rv0211"	"MT0221"	"pckA"	"phosphoenolpyruvate carboxykinase"
"Rv0212c"	"MT0222"	"nadR"	"similar to E.coli NadR"
"Rv0213c"	"MT0223"	"Rv0213c"	"some similarity to methyltransferases"
"Rv0214"	"MT0224"	"fadD4"	"acyl-CoA synthase"
"Rv0215c"	"MT0225"	"fadE3"	"acyl-CoA dehydrogenase"
"Rv0216"	"MT0226"	"Rv0216"	"conserved hypothetical protein"
"Rv0217c"	"MT0227"	"lipW"	"probable esterase"
"Rv0218"	"MT0228"	"Rv0218"	"some similarity with sulphitesulfite oxidases"
"Rv0219"	"MT0229"	"Rv0219"	"hypothetical protein"
"Rv0220"	"MT0230"	"lipC"	"probable esterase"
"Rv0221"	"MT0231"	"Rv0221"	"conserved hypothetical protein"
"Rv0222"	"MT0232"	"echA1"	"enoyl-CoA hydratase/isomerase superfamily"
"Rv0223c"	"MT0233"	"Rv0223c"	"aldehyde dehydrogenase (possible betB)"
"Rv0224c"	NA	"Rv0224c"	"Probable methyltransferase"
"Rv0225"	"MT0235"	"Rv0225"	"possible involved in LPS synthesis"
"Rv0226c"	"MT0236"	"Rv0226c"	"probable membrane protein"
"Rv0227c"	"MT0237"	"Rv0227c"	"possible membrane protein"
"Rv0228;Rv0228"	NA	NA	NA
"Rv0229c"	"MT0239"	"Rv0229c"	"conserved hypothetical protein"
"Rv0230c"	"MT0240"	"Rv0230c"	"conserved hypothetical protein"
"Rv0231"	"MT0241"	"fadE4"	"acyl-CoA dehydrogenase"
"Rv0232"	"MT0242"	"Rv0232"	"transcriptional regulator (TetR/AcrR family)"
"Rv0233"	"MT0244"	"nrdB"	"ribonucleoside-diphosphate reductase B2"
"Rv0234c;Rv0234c"	NA	NA	NA
"Rv0235c"	"MT0246"	"Rv0235c"	"conserved hypothetical protein"
"Rv0236c"	"MT0247"	"Rv0236c"	"possible membrane protein"
"Rv0237"	"MT0251"	"lpqI"	"beta-hexosaminidase precursorBETA-HEXOSAMINIDASE A"
"Rv0238"	"MT0252"	"Rv0238"	"transcriptional regulator (TetR/AcrR family)"
"Rv0239"	"MT0253"	"Rv0239"	"conserved hypothetical protein"
"Rv0240"	"MT0254"	"Rv0240"	"hypothetical protein"
"Rv0241c"	"MT0255"	"Rv0241c"	"hypothetical protein"
"Rv0242c"	"MT0256"	"fabG4"	"3-oxoacyl-[ACP] reductase"
"Rv0243"	"MT0257"	"fadA2"	"acetyl-CoA C-acetyltransferase"
"Rv0244c"	"MT0258"	"fadE5"	"acyl-CoA dehydrogenase"
"Rv0245"	"MT0259"	"Rv0245"	"probable monooxygenase"
"Rv0246"	"MT0260"	"Rv0246"	"probable membrane transport protein"
"Rv0247c"	"MT0261"	"Rv0247c"	"probable iron-sulphur protein"
"Rv0248c"	"MT0262"	"Rv0248c"	"probable flavoprotein subunit of Rv0247c"
"Rv0249c"	NA	"Rv0249c"	"probable membrane anchor protein"
"Rv0250c"	"MT0264"	"Rv0250c"	"hypothetical protein"
"Rv0251c"	"MT0265"	"hsp"	"possible heat shock protein"
"Rv0252"	"MT0266"	"nirB"	"nitrite reductase flavoprotein"
"Rv0253"	NA	"nirD"	"probable nitrite reductase small subunit"
"Rv0254c"	NA	"cobU"	"cobinamide kinase"
"Rv0255c"	"MT0268"	"cobQ"	"cobyric acid synthase"
"Rv0256c"	"MT0269"	"PPE"	"PPE-family protein"
"Rv0257c"	NA	"Rv0257c"	"hypothetical protein"
"Rv0258c"	"MT0271"	"Rv0258c"	"conserved hypothetical protein"
"Rv0259c"	"MT0272"	"Rv0259c"	"conserved hypothetical protein"
"Rv0260c"	"MT0273"	"Rv0260c"	"two-component response regulator"
"Rv0261c"	"MT0274"	"narK3"	"nitrite extrusion protein1"
"Rv0262c"	"MT0275"	"Rv0262c"	"aminoglycoside 2 -N-acetyltransferase"
"Rv0263c"	"MT0276"	"Rv0263c"	"conserved hypothetical protein"
"Rv0264c"	"MT0277"	"Rv0264c"	"conserved hypothetical protein"
"Rv0265c"	"MT0278"	"fecB2"	"iron transport protein FeIII dicitrate transporter"
"Rv0266c"	"MT0279"	"Rv0266c"	"conserved hypothetical protein"
"Rv0267"	"MT0280"	"narU"	"similar to nitrite extrusion protein 2"
"Rv0268c"	"MT0281"	"Rv0268c"	"hypothetical protein"
"Rv0269c"	"MT0282"	"Rv0269c"	"conserved hypothetical protein"
"Rv0270"	"MT0283"	"fadD2"	"acyl-CoA synthase"
"Rv0271c"	"MT0284"	"fadE6"	"acyl-CoA dehydrogenase"
"Rv0272c"	"MT0285"	"Rv0272c"	"hypothetical protein"
"Rv0273c"	"MT0286"	"Rv0273c"	"putative transcriptional regulator"
"Rv0274"	"MT0286.1"	"Rv0274"	"hypothetical protein"
"Rv0275c"	"MT0287"	"fadD27"	"acyl-CoA synthase"
"Rv0276"	"MT0288"	"Rv0276"	"conserved hypothetical protein"
"Rv0277c"	NA	"Rv0277c"	"conserved hypothetical protein"
"Rv0278c;Rv0278c"	NA	NA	NA
"Rv0279c"	NA	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0280"	"MT0292"	"PPE"	"PPE-family protein"
"Rv0281"	"MT0293"	"Rv0281"	"conserved hypothetical protein"
"Rv0282"	"MT0295"	"Rv0282"	"conserved hypothetical protein"
"Rv0283"	"MT0296"	"Rv0283"	"conserved hypothetical protein"
"Rv0284"	"MT0297"	"Rv0284"	"conserved hypothetical protein"
"Rv0285"	NA	"PE"	"PE-family protein"
"Rv0286"	"MT0299"	"PPE"	"PPE-family protein"
"Rv0287"	"MT0300"	"Rv0287"	"conserved hypothetical protein"
"Rv0288"	"MT0301"	"Rv0288"	"conserved hypothetical protein"
"Rv0289"	"MT0302"	"Rv0289"	"conserved hypothetical protein"
"Rv0290"	NA	"Rv0290"	"unknown hydrophobic protein"
"Rv0291"	"MT0304"	"Rv0291"	"secreted protease"
"Rv0292"	"MT0305"	"Rv0292"	"unknown possible membrane protein"
"Rv0293c"	"MT0306"	"Rv0293c"	"conserved hypothetical protein"
"Rv0294"	"MT0307"	"Rv0294"	"conserved hypothetical protein"
"Rv0295c"	"MT0308"	"Rv0295c"	"hypothetical protein"
"Rv0296c"	"MT0310"	"atsG"	"proable arylsulfatase"
"Rv0297"	"MT0311"	"PE_PGRS"	"PE_PGRS-family protein"
"Rv0298"	"MT0312"	"Rv0298"	"hypothetical protein"
"Rv0299"	NA	"Rv0299"	"hypothetical protein"
"Rv0300"	NA	"Rv0300"	"hypothetical protein"
"Rv0301"	"MT0314"	"Rv0301"	"conserved hypothetical protein"
"Rv0302"	"MT0315"	"Rv0302"	"transcriptional regulator (TetR/AcrR family)"
"Rv0303"	NA	"Rv0303"	"similar to NADPH dehydrogenase"
"Rv0304c"	"MT0318"	"PPE"	"PPE-family protein"
"Rv0305c"	"MT0318"	"PPE"	"PPE-family protein"
"Rv0306"	NA	"Rv0306"	"similar to BluB cobalamin synthesis protein R."
"Rv0307c"	"MT0320"	"Rv0307c"	"hypothetical protein"
"Rv0308"	"MT0321"	"Rv0308"	"conserved hypothetical protein"
"Rv0309"	"MT0322"	"Rv0309"	"hypothetical protein"
"Rv0310c"	"MT0323"	"Rv0310c"	"conserved hypothetical protein"
"Rv0311"	"MT0324"	"Rv0311"	"hypothetical protein"
"Rv0312"	"MT0326"	"Rv0312"	"conserved hypothetical protein"
"Rv0313"	"MT0327"	"Rv0313"	"hypothetical protein"
"Rv0314c;Rv0314c"	NA	NA	NA
"Rv0315"	"MT0329"	"Rv0315"	"probable [beta]-1,3-glucanase"
"Rv0316"	NA	"Rv0316"	"probable muconolactone isomerase"
"Rv0317c"	"MT0332"	"glpQ2"	"glycerophosphoryl diester phosphodiesterase"
"Rv0318c"	NA	"Rv03183"	NA
"Rv0319"	NA	"pcp"	"pyrrolidone-carboxylate peptidase"
"Rv0320"	"MT0335"	"Rv0320"	"conserved hypothetical protein"
"Rv0321"	NA	"dcd"	"deoxycytidine triphosphate deaminase"
"Rv0322"	"MT0337"	"udgA"	"UDP-glucose dehydrogenase/GDP-mannose"
"Rv0323c"	"MT0338"	"Rv0323c"	"conserved hypothetical protein"
"Rv0324"	"MT0339"	"Rv0324"	"putative transcriptional regulator"
"Rv0325"	"MT0340"	"Rv0325"	"hypothetical protein"
"Rv0326"	"MT0341"	"Rv0326"	"hypothetical protein"
"Rv0327c"	"MT0342"	"Rv0327c"	"cytochrome P-450 monooxygenasemonoxygenase"
"Rv0328"	"MT0343"	"Rv0328"	"transcriptional regulator (TetR/AcrR family)"
"Rv0329c"	"MT0344"	"Rv0329c"	"conserved hypothetical protein"
"Rv0330c"	NA	"Rv0330c"	"hypothetical protein"
"Rv0331"	"MT0346"	"Rv0331"	"putative dehydrogenase"
"Rv0332"	NA	"Rv0332"	"hypothetical protein"
"Rv0333"	NA	"Rv0333"	"hypothetical protein"
"Rv0334"	"MT0348"	"rmlA"	"glucose-1-phosphate thymidyltransferase"
"Rv0335c"	"MT0349"	"PE"	"PE-family protein"
"Rv0336"	"MT0350"	"Rv0336"	"conserved hypothetical protein"
"Rv0337c"	"MT0351"	"aspC"	"aspartate aminotransferase"
"Rv0338c"	"MT0352"	"Rv0338c"	"conserved hypothetical protein"
"Rv0339c"	"MT0353"	"Rv0339c"	"conserved hypothetical protein"
"Rv0340"	"MT0355"	"Rv0340"	"hypothetical protein"
"Rv0341"	"MT0356"	"Rv0341"	"conserved hypothetical protein"
"Rv0342"	"MT0357"	"Rv0342"	"conserved hypothetical protein"
"Rv0343"	"MT0357.1"	"Rv0343"	"conserved hypothetical protein"
"Rv0344c"	"MT0359"	"lpqJ"	"lipoprotein"
"Rv0345"	"MT0360"	"Rv0345"	"unknown possible membrane protein"
"Rv0346c"	"MT0361"	"aroP2"	"probable aromatic amino acid permease"
"Rv0347"	"MT0362"	"Rv0347"	"conserved hypothetical protein"
"Rv0348"	NA	"Rv0348"	"putative transcriptional regulator"
"Rv0349"	"MT0364"	"Rv0349"	"hypothetical protein"
"Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350;Rv0350"	NA	NA	NA
"Rv0351"	"MT0366"	"grpE"	"stimulates DnaK ATPase activity"
"Rv0352"	"MT0367"	"dnaJ"	"acts with GrpE to stimulate DnaK ATPase"
"Rv0353"	"MT0368"	"hspR"	"heat shock regulator"
"Rv0354c"	"MT0369"	"PPE"	"PPE-family protein"
"Rv0355c"	NA	"PPE"	"PPE-family protein"
"Rv0356c"	"MT0372"	"Rv0356c"	"hypothetical protein"
"Rv0357c"	"MT0373"	"purA"	"adenylosuccinate synthase"
"Rv0358"	"MT0374"	"Rv0358"	"hypothetical protein"
"Rv0359"	"MT0375"	"Rv0359"	"conserved hypothetical protein"
"Rv0360c;Rv0360c"	NA	NA	NA
"Rv0361"	NA	"Rv0361"	"possible membrane protein"
"Rv0362"	"MT0378"	"mgtE"	"putative magnesium ion transporter"
"Rv0363c"	"MT0379"	"fba"	"fructose bisphosphate aldolase"
"Rv0364"	"MT0380"	"Rv0364"	"conserved hypothetical protein"
"Rv0365c"	"MT0381"	"Rv0365c"	"conserved hypothetical protein"
"Rv0366c"	"MT0382"	"Rv0366c"	"conserved hypothetical protein"
"Rv0367c"	NA	"Rv0367c"	"hypothetical protein"
"Rv0368c"	"MT0384"	"Rv0368c"	"conserved hypothetical protein"
"Rv0369c"	"MT0384.1"	"Rv0369c"	"putative CO dehydrogenase gene cluster"
"Rv0370c"	"MT0385"	"Rv0370c"	"putative CO dehydrogenase gene cluster"
"Rv0371c"	"MT0386"	"Rv0371c"	"Possible membrane protein"
"Rv0372c"	"MT0387"	"Rv0372c"	"conserved hypothetical protein"
"Rv0373c"	"MT0388"	"Rv0373c"	"putative CO dehydrogenase gene cluster"
"Rv0374c"	"MT0389"	"Rv0374c"	"putative CO dehydrogenase gene cluster"
"Rv0375c"	"MT0390"	"Rv0375c"	"putative CO dehydrogenase gene cluster"
"Rv0376c"	NA	"Rv0376c"	"conserved hypothetical protein"
"Rv0377"	"MT0391"	"Rv0377"	"transcriptional regulator (LysR family)"
"Rv0378"	NA	"Rv0378"	"conserved hypothetical protein"
"Rv0379"	NA	"sec"	"probable transport protein SecE/Sec61- g family"
"Rv0380c"	"MT0393"	"Rv0380c"	"some similarity with methyltransferases"
"Rv0381c"	"MT0394"	"Rv0381c"	"hypothetical protein"
"Rv0382c"	"MT0395"	"umpA"	"probable uridine 5 -monophosphate synthase"
"Rv0383c"	"MT0396"	"Rv0383c"	"unknown possible membrane protein"
